pais,coordinates
belgica,"[-72.2504771, 18.5621912]"
belgica,"[-58.2517848, -37.8539248]"
belgica,"[-7.5471875, 33.5571346]"
belgica,"[-7.5471875, 33.5571346]"
belgica,"[1.483333, 50.183334]"
belgica,"[1.483333, 50.183334]"
belgica,"[2.2931, 49.8941]"
belgica,"[2.2931, 49.8941]"
belgica,"[2.36416667, 50.99833333]"
belgica,"[2.36667, 51.05]"
belgica,"[2.36667, 51.05]"
belgica,"[2.36667, 51.05]"
belgica,"[2.5147236, 51.0795902]"
belgica,"[2.51667, 51.0833]"
belgica,"[2.58180305, 50.45161566]"
belgica,"[2.58180305, 50.45161566]"
belgica,"[2.58180305, 50.45161566]"
belgica,"[2.58180305, 50.45161566]"
belgica,"[2.59246621, 51.10393902]"
belgica,"[2.59414, 50.8444]"
belgica,"[2.63333, 50.5]"
belgica,"[2.63333, 50.5333]"
belgica,"[2.63333, 50.5333]"
belgica,"[2.63333, 50.5333]"
belgica,"[2.63333, 50.5333]"
belgica,"[2.63392752, 51.12003111]"
belgica,"[2.6347752, 51.11856]"
belgica,"[2.6347752, 51.11856]"
belgica,"[2.66488943, 51.07357862]"
belgica,"[2.66994, 51.073867]"
belgica,"[2.67295144, 51.13025759]"
belgica,"[2.67726153, 51.07576779]"
belgica,"[2.67726153, 51.07576779]"
belgica,"[2.67966145, 51.12578246]"
belgica,"[2.67977155, 51.12570565]"
belgica,"[2.71581189, 51.14897402]"
belgica,"[2.72277778, 50.04083333]"
belgica,"[2.73754835, 50.72789876]"
belgica,"[2.75138889, 51.12944444]"
belgica,"[2.7601003, 50.2887152]"
belgica,"[2.76020134, 50.28363478]"
belgica,"[2.76855956, 51.1608986]"
belgica,"[2.7812, 50.2871]"
belgica,"[2.78333, 50.2833]"
belgica,"[2.78333, 50.3]"
belgica,"[2.79368, 51.1791]"
belgica,"[2.82159007, 51.18213008]"
belgica,"[2.83333, 50.4333]"
belgica,"[2.84261, 49.50376]"
belgica,"[2.86667, 50.4667]"
belgica,"[2.868943, 51.032723]"
belgica,"[2.88527234, 51.219179]"
belgica,"[2.88545489, 51.21907401]"
belgica,"[2.88560312, 51.21840687]"
belgica,"[2.88654095, 50.85098127]"
belgica,"[2.88654095, 50.85098127]"
belgica,"[2.88852518, 51.21755696]"
belgica,"[2.89581199, 50.95043761]"
belgica,"[2.9097454, 50.3895808]"
belgica,"[2.9097454, 50.3895808]"
belgica,"[2.91181428, 51.2319035]"
belgica,"[2.91262389, 51.23320258]"
belgica,"[2.91516896, 51.23047236]"
belgica,"[2.91531, 50.69879]"
belgica,"[2.91667, 51.2167]"
belgica,"[2.91667, 51.2167]"
belgica,"[2.91667, 51.2167]"
belgica,"[2.91704129, 51.23363351]"
