pais,coordinates
brasil,"[-78.50834335, -0.2189757]"
brasil,"[-78.4906921, -0.19168]"
brasil,"[-73.916667, 3.816667]"
brasil,"[-73.916667, 3.816667]"
brasil,"[-73.51971082, 4.28992944]"
brasil,"[-73.36361111, 5.385]"
brasil,"[-73.24323493, -3.74978207]"
brasil,"[-72.26333333, -13.25805556]"
brasil,"[-72.2167, -13.4167]"
brasil,"[-71.9722, -13.525]"
brasil,"[-71.9722, -13.525]"
brasil,"[-71.6833, -33.1]"
brasil,"[-71.54985822, -16.38978472]"
brasil,"[-71.3375, -17.6394]"
brasil,"[-70.4122154, -23.6767647]"
brasil,"[-70.4009419, -23.6638588]"
brasil,"[-70.3948697, -23.63552166]"
brasil,"[-70.333333, -18.483333]"
brasil,"[-70.333333, -18.483333]"
brasil,"[-70.333333, -18.483333]"
brasil,"[-70.333333, -18.483333]"
brasil,"[-70.32181, -18.47847]"
brasil,"[-70.31861, -18.48607]"
brasil,"[-70.31861, -18.48607]"
brasil,"[-70.3036, -18.4732]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.2595, -18.5297]"
brasil,"[-70.14270287, -20.24230981]"
brasil,"[-70.1359024, -20.2357597]"
brasil,"[-70.1342, -20.2415]"
brasil,"[-70.1342, -20.2415]"
brasil,"[-70.1342, -20.2415]"
brasil,"[-70.1342, -20.2415]"
brasil,"[-70.1342, -20.2415]"
brasil,"[-70.1342, -20.2415]"
brasil,"[-70.13203046, -20.22931167]"
brasil,"[-70.13139725, -20.2282344]"
brasil,"[-68.926378, -22.461962]"
brasil,"[-68.926378, -22.461962]"
brasil,"[-68.926378, -22.461962]"
brasil,"[-68.7333, -11]"
brasil,"[-68.7166, -23.2264]"
brasil,"[-68.257895, -16.189249]"
brasil,"[-68.257895, -16.189249]"
brasil,"[-68.21444445, -22.89083334]"
brasil,"[-68.200642, -22.912977]"
brasil,"[-68.200642, -22.912977]"
brasil,"[-68.15, -16.5]"
brasil,"[-68.134, -16.4965]"
brasil,"[-68.1192936, -16.489689]"
brasil,"[-68.08874, -16.56768]"
brasil,"[-68.01027778, -22.33138889]"
brasil,"[-67.8, -9.96667]"
brasil,"[-67.8, -9.96667]"
brasil,"[-66.82403504, -20.46294618]"
brasil,"[-66.38978757, 2.4038958]"
brasil,"[-66.17, -17.38]"
brasil,"[-65.50903824, -5.17059963]"
brasil,"[-65.21555328, -26.82805634]"
brasil,"[-64.3089407, -31.2935572]"
brasil,"[-64.1833, -31.4]"
brasil,"[-64.1833, -31.4]"
brasil,"[-64.130491, -31.3865782]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.9039, -8.7619]"
brasil,"[-63.89614012, -8.77142318]"
brasil,"[-63.5198345, 8.0771554]"
brasil,"[-63.25, -24.2]"
brasil,"[-63.18973303, -17.78050321]"
brasil,"[-63.18973303, -17.78050321]"
brasil,"[-63.17473815, -17.82645838]"
brasil,"[-63.1560853, -17.8145819]"
