pais,coordinates
uruguay,"{u'type': u'Point', u'coordinates': [-69.30089735, -51.01232279]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.9818535, -35.4897232]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.9333, -36.75]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.72948742, -35.97130321]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.726932, -35.9661978]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.7167, -37.55]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.7167, -37.55]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.7, -35.9667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.7, -35.4333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.55, -36.2667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.45, -34.8333]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.418424, -37.012643]}"
uruguay,"{u'type': u'Point', u'coordinates': [-62.2085755, -36.30608575]}"
uruguay,"{u'type': u'Point', u'coordinates': [-61.8931404, -38.4888027]}"
uruguay,"{u'type': u'Point', u'coordinates': [-61.8823306, -35.8390577]}"
uruguay,"{u'type': u'Point', u'coordinates': [-61.8823306, -35.8390577]}"
uruguay,"{u'type': u'Point', u'coordinates': [-61.51666667, -34.85]}"
uruguay,"{u'type': u'Point', u'coordinates': [-61.3667, -37.9667]}"
uruguay,"{u'type': u'Point', u'coordinates': [-61.25, -37.25]}"
uruguay,"{u'type': u'Point', u'coordinates': [-60.8914, -35.4542]}"
uruguay,"{u'type': u'Point', u'coordinates': [-60.8886936, -35.4401478]}"
uruguay,"{u'type': u'Point', u'coordinates': [-60.56972222, -36.15722222]}"
uruguay,"{u'type': u'Point', u'coordinates': [-60.56972222, -36.15722222]}"
uruguay,"{u'type': u'Point', u'coordinates': [-60.56972222, -36.15722222]}"
uruguay,"{u'type': u'Point', u'coordinates': [-60.56972222, -36.15722222]}"
uruguay,"{u'type': u'Point', u'coordinates': [-60.54202318, -36.65974595]}"
uruguay,"{u'type': u'Point', u'coordinates': [-60.54202318, -36.65974595]}"
